Feature,Importance
x0_Vac_Status_First,0.33279456141703895
x0_Acute_COVID19_Hosp,0.13920014318978124
x0_Vac_Num_at_Draw,0.10518106403385181
x1_Cytokines_CCL22_Obs_Conc_pg/mL_GG3.2_ML,0.09973340819491562
x1_Flow_Cyt_PD1pCD8TemraofCD8_GG33.5_ML,0.06063404224120797
x1_Cytokines_CCL20_Obs_Conc_pg/mL_GG3.2_ML,0.037456236375660056
x1_Cytokines_Perforin_Obs_Conc_pg/mL_GG29.1_ML,0.03670733203862125
x1_Cytokines_CCL18_Obs_Conc_pg/mL_GG3.2_ML,0.030080388497477913
x0_PMH_kidney,0.02277709065489858
x1_Flow_Cyt_CD8TexofLivenumber_ML2,0.019435177779658183
x1_SI_EBV_Patient_Report_Latent_and_Mono_small_capsomere_interacting_protein_(BFRF3)_PX[DNE]TXPR_Motif_Family_35_zscore_Max_ML,0.014081734809335798
x1_SI_Helicobacter_pylori_Patient_Report_No_stage_Bacterial_All_motif_ScoreSum,0.013678555220427007
x1_Flow_Cyt_HLADRncMonoMFInonnorm,0.011700654505809248
x1_Cytokines_IL-27_Obs_Conc_pg/mL_GG4.5_ML,0.011548644708823988
x1_SI_Dengue_Virus_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.008705843333118104
x1_REAP_Antigen_C1QBP.1,0.007370011218300837
x1_Flow_Cyt_CD11cofncMono,0.005271046460326212
x1_Flow_Cyt_CD4IL6number_ML2,0.004063882455350388
x1_SI_HSV2_Patient_Report_No_stage_Envelope_glycoprotein_B_Envelope_glycoprotein_G_[FY]EGXG[DE]_Motif_Family_7_zscore_Max_ML,0.003860808406875617
x1_Flow_Cyt_CD16intNeut,0.0037522836534048
x1_REAP_Virus_Antigen_SARSCoV2_Delta_S1RBD_ML,0.0031319658255937874
x1_Cytokines_Complement C2_Obs_Conc_ng/mL_GG16.1_ML,0.0022126255031414727
x1_Cytokines_LCN2_Obs_Conc_pg/mL_GG10.1_ML,0.0019578648902796314
x1_Flow_Cyt_HLADREosMFInonnorm,0.0016008926489150426
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Nucleocapsid_FP[AP][MT]XXK_Motif_Family_11_zscore,0.0015360556655379584
x1_SI_CMV_Patient_Report_No_stage_Membrane_protein_RL13_KXDPDXXW_Motif_Family_15_zscore_Max_ML,0.0013893052599034173
x1_SI_CMV_Patient_Report_No_stage_Envelope_glycoprotein_H_(gH)_EP[LMI]DXA_Motif_Family_10_zscore_Max_ML,0.0012729076494427112
x1_Flow_Cyt_CD4IL17ofCD3,0.001184214782206909
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Additional_Mimitopes_[NST]P[FM]XXX[ST]XK_Motif_Family_19_zscore,0.0011360151110158024
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Nucleocapsid_FPPTEPK_Motif_Family_11_zscore_Max_ML,0.0011191929650146999
x1_SI_HSV1_Patient_Report_No_stage_Envelope_glycoprotein_D_P[ND]A[STA]Q_Motif_Family_5_zscore_Max_ML,0.0008907385443007568
x1_Cytokines_VEGF-A_Obs_Conc_pg/mL_GG14.3_ML,0.0008629316557060478
x1_Cytokines_IL-1RA_Obs_Conc_pg/mL_GG4.1_ML,0.0008064217368267905
x1_Flow_Cyt_NaiveBnumber_ML2,0.0007220492829545073
x1_Cytokines_GMCSF_Obs_Conc_pg/mL_GG14.8_ML,0.0007200616775525761
x0_Symp_Survey_mrc_Normalized_Sum,0.0006379120258440795
x1_Flow_Cyt_CD4IL6ofCD4_ML,0.0006272802686819006
x0_Symp_Survey_gad7_7,0.000549120398543112
x1_SI_Epstein_Barr_virus_(chronic_latent)_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.0005007416412097228
x0_Symp_Survey_fss3,0.0004756802516134319
x1_Cytokines_EPO_Obs_Conc_pg/mL_GG14.9_ML,0.0004004047954648181
x1_Flow_Cyt_CD8TexofCD3,0.0003490520448397895
x1_SI_EBV_Patient_Report_Latent_and_Mono_Assembly_protein_YVPHP_Motif_Family_17_zscore_Max_ML,0.0003349376346046657
x1_Flow_Cyt_IL4ofCD8_ML,0.0003101384756060754
x1_Flow_Cyt_NKTnumber_ML2,0.0002876620311169034
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Additional_Mimitopes_YWXYFXK_None_zscore,0.0002866694048412658
x0_Symp_Survey_fss9,0.0002641712404144598
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_ORF8_DEAGSK_Motif_Family_13_zscore_Max_ML,0.00024831560170455254
x1_Flow_Cyt_CD8GzBofLive,0.00024364120698298485
x1_SI_EBV_Patient_Report_Late_Antigen_Glycoprotein_42_K[LI]XHWT_Motif_Family_15_zscore_Max_ML,0.00024320451295266449
x1_Cytokines_HMGB1_Obs_Conc_ng/mL_GG20.1_ML,0.00023741023089514954
x1_REAP_Virus_Antigen_SARSCoV2_Beta_S1RBD_ML,0.00021659847961181308
x1_SI_EBV_Patient_Report_Latent_and_Mono_small_capsomere_interacting_protein_(BFRF3)_[AV]TXGAT_Motif_Family_34_zscore_Max_ML,0.00021554652121444262
x1_REAP_Virus_Antigen_HPV39_L1,0.00020257815419537757
x1_Cytokines_BDNF_Obs_Conc_pg/mL_GG14.4_ML,0.0001780835801194954
x1_Flow_Cyt_DC2number_ML2,0.00016807039425618584
x1_Flow_Cyt_intMononumber_ML2,0.00016464197885237438
x1_Cytokines_MSH_Obs_Conc_pg/mL_GG2.3_ML,0.0001593222207668637
x1_Flow_Cyt_CD8IFNyofLive,0.0001503463349439871
x1_SI_CMV_Patient_Report_No_stage_Tegument_protein_UL32_pp150_[TAS]XT[YF][AG]G_Motif_Family_7_zscore_Max_ML,0.00015008633558054148
