fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9354838709677419,0.0,0.0,0.0,0.20192307692307693,0.8833333333333334,"[[58, 2], [2, 0]]"
2,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.37844787283777465,0.6638418079096045,"[[59, 0], [3, 0]]"
3,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9344262295081968,0.0,0.0,0.0,0.18306010928961747,0.5889830508474576,"[[57, 2], [2, 0]]"
4,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.967741935483871,0.0,0.0,0.0,0.05459057071960298,0.5208333333333334,"[[60, 0], [2, 0]]"
5,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.8709677419354839,0.14285714285714285,0.3333333333333333,0.2,0.2178834182229768,0.6214689265536723,"[[53, 6], [2, 1]]"
6,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9508196721311475,0.0,0.0,0.0,0.09722222222222221,0.8093220338983051,"[[58, 1], [2, 0]]"
7,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9193548387096774,0.0,0.0,0.0,0.0787878787878788,0.7416666666666667,"[[57, 3], [2, 0]]"
8,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9032258064516129,0.0,0.0,0.0,0.04838709677419355,0.3728813559322034,"[[56, 3], [3, 0]]"
9,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.8852459016393442,0.0,0.0,0.0,0.07194899817850638,0.597457627118644,"[[54, 5], [2, 0]]"
10,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9193548387096774,0.0,0.0,0.0,0.039938556067588324,0.4916666666666667,"[[57, 3], [2, 0]]"
11,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.05779569892473119,0.4265536723163842,"[[59, 0], [3, 0]]"
12,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.5256410256410257,0.6864406779661016,"[[56, 3], [1, 1]]"
13,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.04554079696394687,0.4791666666666667,"[[59, 1], [2, 0]]"
14,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.34444444444444444,0.9152542372881356,"[[59, 0], [3, 0]]"
15,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9344262295081968,0.0,0.0,0.0,0.18306010928961747,0.6483050847457628,"[[57, 2], [2, 0]]"
