fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9906831965655496,0.9880952380952381,"[[0, 28], [0, 33]]"
4,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9982946119624321,0.9978991596638656,"[[0, 28], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.00015151515151515152,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.997243491060336,0.9967532467532467,"[[0, 28], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9860113025554202,0.9837184873949579,"[[0, 28], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9956095041322314,0.9945887445887446,"[[0, 28], [0, 33]]"
10,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9911265684325596,0.9910714285714286,"[[0, 28], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,1.0,1.0,"[[0, 28], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9665559648760259,0.9637445887445888,"[[0, 28], [0, 33]]"
