fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.05}",0.005097549982700263,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9999999999999999,1.0,"[[0, 28], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",2.4030909078826944e-06,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 5, 'clf__learning_rate': 0.05}",0.0033104507812649598,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9558987902165337,0.965909090909091,"[[0, 28], [0, 33]]"
4,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.05}",0.003403801832530403,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9948749575587811,0.9936974789915967,"[[0, 28], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.03}",0.030241731479969024,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9858522156490679,0.9695378151260504,"[[0, 28], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 5, 'clf__learning_rate': 0.03}",0.024642872381750048,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.8918918918918919,0.9285714285714286,"[[0, 28], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 150, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.05}",2.230378995879833e-05,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.918918918918919,0.9464285714285715,"[[0, 28], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.05}",0.0031864571712715804,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 5, 'clf__learning_rate': 0.03}",0.024642872381750027,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.8783463045758128,0.9134199134199135,"[[0, 28], [0, 33]]"
10,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",4.1603833272654754e-07,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9924904510069184,0.9915966386554622,"[[0, 28], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.03}",0.0292481131653124,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9949784791965568,0.993172268907563,"[[0, 28], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 150, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.05}",3.282944278097247e-05,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9904997412913259,0.9880952380952382,"[[0, 28], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 5, 'clf__learning_rate': 0.03}",0.024642872381750048,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9734345351043643,0.9705882352941176,"[[0, 28], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 5, 'clf__learning_rate': 0.03}",0.024642872381750048,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.8919755668981675,0.9264705882352942,"[[0, 28], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",1.2358391365358486e-08,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.8685955901029441,0.9090909090909092,"[[0, 28], [0, 33]]"
