fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.16949082651098019,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.8520584968390386,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__C': 0.5}",0.8391767390886246,0.9836065573770492,1.0,0.9696969696969697,0.9846153846153847,0.9960127591706538,0.9945887445887446,"[[28, 0], [1, 32]]"
4,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.3395203311113383,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.9991596638655462,0.9989495798319328,"[[27, 1], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.6482331475208211,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.7936581940012182,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,"[[28, 0], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.7129964053848898,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.24626693706695227,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.14504696061591452,0.9836065573770492,0.9705882352941176,1.0,0.9850746268656716,0.9981904607573056,0.9978354978354979,"[[27, 1], [0, 33]]"
10,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.669788475315987,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__C': 0.5}",0.22360042894129353,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.6696925513854906,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,"[[28, 0], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.06619565303597638,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.6467939728986075,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.617796886461126,0.9672131147540983,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9958057230784502,0.9945887445887447,"[[27, 1], [1, 32]]"
