fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.6111111111111112,0.9416666666666667,"[[60, 0], [2, 0]]"
2,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.38882921589688507,0.6666666666666666,"[[59, 0], [3, 0]]"
3,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.1413934426229508,0.5084745762711864,"[[59, 0], [2, 0]]"
4,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.5196078431372549,0.6125,"[[60, 0], [2, 0]]"
5,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.21944444444444444,0.771186440677966,"[[59, 0], [3, 0]]"
6,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.039120715350223545,0.4364406779661017,"[[59, 0], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.1875,0.8666666666666667,"[[60, 0], [2, 0]]"
8,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.2017783857729138,0.5310734463276836,"[[59, 0], [3, 0]]"
9,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.06003584229390681,0.6271186440677966,"[[59, 0], [2, 0]]"
10,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.2712765957446808,0.6333333333333333,"[[60, 0], [2, 0]]"
11,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.07024158637061863,0.559322033898305,"[[59, 0], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.5476190476190477,0.8559322033898304,"[[59, 0], [2, 0]]"
13,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.2681818181818182,0.5708333333333333,"[[60, 0], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.5,0.9124293785310734,"[[59, 0], [3, 0]]"
15,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.2685185185185185,0.5762711864406779,"[[59, 0], [2, 0]]"
