fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9032258064516129,0.16666666666666666,0.5,0.25,0.29166666666666663,0.9333333333333333,"[[55, 5], [1, 1]]"
2,123,62,4,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9193548387096774,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.4388888888888889,0.8926553672316384,"[[55, 4], [1, 2]]"
3,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9508196721311475,0.3333333333333333,0.5,0.4,0.28703703703703703,0.7796610169491526,"[[57, 2], [1, 1]]"
4,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 2, 'kbest__k': 200}",0.9516129032258065,0.3333333333333333,0.5,0.4,0.3,0.8416666666666666,"[[58, 2], [1, 1]]"
5,123,62,4,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9354838709677419,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.9152542372881356,"[[57, 2], [2, 1]]"
6,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9344262295081968,0.0,0.0,0.0,0.26666666666666666,0.9152542372881356,"[[57, 2], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9516129032258065,0.4,1.0,0.5714285714285714,0.5,0.975,"[[57, 3], [0, 2]]"
8,123,62,4,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9193548387096774,0.25,0.3333333333333333,0.2857142857142857,0.28104575163398693,0.8587570621468926,"[[56, 3], [2, 1]]"
9,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9344262295081968,0.0,0.0,0.0,0.19090909090909092,0.8898305084745762,"[[57, 2], [2, 0]]"
10,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 2, 'kbest__k': 200}",0.9838709677419355,1.0,0.5,0.6666666666666666,0.5666666666666667,0.8916666666666666,"[[60, 0], [1, 1]]"
11,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9516129032258065,0.0,0.0,0.0,0.31746031746031744,0.9265536723163842,"[[59, 0], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.41666666666666663,0.9576271186440678,"[[56, 3], [1, 1]]"
13,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 2, 'kbest__k': 200}",0.9354838709677419,0.0,0.0,0.0,0.21929824561403508,0.8416666666666667,"[[58, 2], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9354838709677419,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5075757575757576,0.92090395480226,"[[57, 2], [2, 1]]"
15,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9672131147540983,0.5,0.5,0.5,0.5263157894736842,0.6949152542372881,"[[58, 1], [1, 1]]"
