fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.02, 'kbest__k': 50, 'clf__n_estimators': 100}",1.0,0.967741935483871,0.0,0.0,0.0,0.0390961262553802,0.4375,"[[60, 0], [2, 0]]"
2,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100}",0.13,0.8548387096774194,0.2,0.6666666666666666,0.3076923076923077,0.3416666666666667,0.8700564971751412,"[[51, 8], [1, 2]]"
3,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100}",0.42,0.9180327868852459,0.2,0.5,0.2857142857142857,0.5416666666666666,0.8177966101694916,"[[55, 4], [1, 1]]"
4,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100}",0.21,0.8870967741935484,0.2222222222222222,1.0,0.36363636363636365,0.20833333333333331,0.9166666666666666,"[[53, 7], [0, 2]]"
5,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.02, 'kbest__k': 50, 'clf__n_estimators': 100}",0.84,0.9032258064516129,0.2,0.3333333333333333,0.25,0.1989247311827957,0.5028248587570621,"[[55, 4], [2, 1]]"
6,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.02, 'kbest__k': 50, 'clf__n_estimators': 100}",1.0,0.9672131147540983,0.0,0.0,0.0,0.05725806451612903,0.597457627118644,"[[59, 0], [2, 0]]"
7,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100}",0.22,0.9193548387096774,0.2,0.5,0.2857142857142857,0.5588235294117647,0.8791666666666667,"[[56, 4], [1, 1]]"
8,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100}",0.3,0.9193548387096774,0.25,0.3333333333333333,0.2857142857142857,0.25274725274725274,0.8107344632768361,"[[56, 3], [2, 1]]"
9,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100}",1.0,0.9672131147540983,0.0,0.0,0.0,0.048642533936651584,0.5466101694915254,"[[59, 0], [2, 0]]"
10,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100}",0.53,0.9193548387096774,0.2,0.5,0.2857142857142857,0.5714285714285714,0.8999999999999999,"[[56, 4], [1, 1]]"
11,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100}",0.22,0.9032258064516129,0.2,0.3333333333333333,0.25,0.15,0.788135593220339,"[[55, 4], [2, 1]]"
12,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.02, 'kbest__k': 50, 'clf__n_estimators': 100}",1.0,0.9344262295081968,0.0,0.0,0.0,0.03425058548009367,0.3432203389830508,"[[57, 2], [2, 0]]"
13,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100}",0.21,0.8709677419354839,0.2,1.0,0.3333333333333333,0.325,0.95,"[[52, 8], [0, 2]]"
