feature,selection_count,selection_frequency
x0_LC_Symptom_indig_reflux_ML_7,15,1.0
x0_LC_Symptom_jtpain_swell_ML_8,15,1.0
x0_LC_Symptom_mood_ML_2,15,1.0
x0_LC_Symptom_sleep_ML_2,15,1.0
x0_Vac_Num_at_Draw,15,1.0
x1_Cytokines_Cortisol_Obs_Conc_ng/mL_GG21.1_ML,15,1.0
x0_LC_Symptom_confusion_ML_2,14,0.9333333333333333
x0_LC_Symptom_mmpain_cramp_ML_8,14,0.9333333333333333
x0_LC_Symptom_weakness_ML_8,14,0.9333333333333333
x0_LC_Symptom_dyspnea_ML_5,13,0.8666666666666667
x1_Flow_Cyt_CD66bCD16hiNeutMFInonnorm,13,0.8666666666666667
x0_LC_Symptom_chestpain_ML_6,12,0.8
x0_LC_Symptom_headache_ML_2,12,0.8
x0_LC_Symptom_memory_ML_2,12,0.8
x0_LC_Symptom_pins_need_ML_2,11,0.7333333333333333
x0_LC_Symptom_sweats_ML_3,11,0.7333333333333333
x0_PMH_none,10,0.6666666666666666
x0_Vac_Status_Third,9,0.6
x1_Flow_Cyt_CD66bEosMFInonnorm,9,0.6
x0_LC_Symptom_bloat_ML_7,8,0.5333333333333333
x0_LC_Symptom_vision_ML_2,7,0.4666666666666667
x1_Flow_Cyt_CD66bTotalNeutMFInonnorm,7,0.4666666666666667
x0_LC_Symptom_dizziness_ML_2,6,0.4
x0_LC_Symptom_heartpalp_ML_6,5,0.3333333333333333
x1_Flow_Cyt_CD4IL4pofCD4_ML,5,0.3333333333333333
x1_REAP_Antigen_IL34_ML,5,0.3333333333333333
x0_LC_Symptom_hairloss,4,0.26666666666666666
x1_Flow_Cyt_DC1,4,0.26666666666666666
x1_REAP_Antigen_APLN-N,4,0.26666666666666666
x0_Acute_COVID19_Diagnostic_No_pos,3,0.2
x0_LC_Symptom_tinnitus_ML_2,3,0.2
x1_Flow_Cyt_DNofB_ML,3,0.2
x1_REAP_Antigen_PIANP,3,0.2
x1_Cytokines_IL-12_Obs_Conc_pg/mL_GG4.5_ML,2,0.13333333333333333
x1_Cytokines_PDGF-AA_Obs_Conc_pg/mL_GG14.5_ML,2,0.13333333333333333
x1_Flow_Cyt_CD8IL2number_ML2,2,0.13333333333333333
x1_Flow_Cyt_HLADRofintMono,2,0.13333333333333333
x0_LC_Symptom_bodytemp_ML_3,1,0.06666666666666667
x0_LC_Symptom_cough_ML_5,1,0.06666666666666667
x0_LC_Symptom_tachypnea_ML_5,1,0.06666666666666667
x0_LC_Symptom_throat_ML_4,1,0.06666666666666667
x1_Cytokines_M-CSF_Obs_Conc_pg/mL_GG14.6_ML,1,0.06666666666666667
x1_Flow_Cyt_CD4IL4ofCD3,1,0.06666666666666667
x1_Flow_Cyt_CD66bCD16intNeutMFInonnorm,1,0.06666666666666667
x1_Flow_Cyt_CD86HLADRBofB_ML,1,0.06666666666666667
x1_Flow_Cyt_NaiveBofAct,1,0.06666666666666667
x1_REAP_Antigen_TRABD2A,1,0.06666666666666667
