fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.9459459459459459,0.0,0.0,0.0,0.027777777777777776,0.4861111111111111,"[[35  1]
 [ 1  0]]"
2,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.8918918918918919,0.0,0.0,0.0,0.027777777777777776,0.4722222222222222,"[[33  3]
 [ 1  0]]"
3,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.972972972972973,0.0,0.0,0.0,0.02702702702702703,0.5,"[[36  0]
 [ 1  0]]"
4,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.918918918918919,0.0,0.0,0.0,0.11036036036036036,0.5571428571428572,"[[34  1]
 [ 2  0]]"
5,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.9459459459459459,0.0,0.0,0.0,0.05555555555555555,0.5,"[[35  0]
 [ 2  0]]"
6,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.918918918918919,0.0,0.0,0.0,0.027777777777777776,0.4861111111111111,"[[34  2]
 [ 1  0]]"
7,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.918918918918919,0.0,0.0,0.0,0.027777777777777776,0.4861111111111111,"[[34  2]
 [ 1  0]]"
8,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.8918918918918919,0.0,0.0,0.0,0.02702702702702703,0.4583333333333333,"[[33  3]
 [ 1  0]]"
9,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.9459459459459459,0.0,0.0,0.0,0.05714285714285714,0.5285714285714286,"[[35  0]
 [ 2  0]]"
10,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.9459459459459459,0.0,0.0,0.0,0.05405405405405406,0.4857142857142857,"[[35  0]
 [ 2  0]]"
11,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.9459459459459459,0.0,0.0,0.0,0.02702702702702703,0.4861111111111111,"[[35  1]
 [ 1  0]]"
12,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.918918918918919,0.0,0.0,0.0,0.16666666666666666,0.9027777777777777,"[[34  2]
 [ 1  0]]"
13,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.9459459459459459,0.0,0.0,0.0,0.02702702702702703,0.4861111111111111,"[[35  1]
 [ 1  0]]"
14,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.9459459459459459,0.0,0.0,0.0,0.05555555555555555,0.5142857142857142,"[[35  0]
 [ 2  0]]"
15,148,37,0,"{'sel__estimator__C': 0.02, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.8918918918918919,0.0,0.0,0.0,0.05405405405405406,0.4714285714285714,"[[33  2]
 [ 2  0]]"
