fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.0005166711349051381,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.00020483768972402085,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.05, 'kbest__k': 100, 'clf__C': 0.5}",0.0020835999610333508,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9880549901118767,0.9837662337662337,"[[0, 28], [0, 33]]"
4,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.00010159376394962195,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__C': 0.1}",0.008215375529284022,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.000786786061464609,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9999999999999999,1.0,"[[0, 28], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",4.360160422468984e-05,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.00021059270405862396,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.0010015317453196052,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9981904607573056,0.9978354978354979,"[[0, 28], [0, 33]]"
10,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",7.874220288911145e-05,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__C': 0.5}",0.001225106238786289,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9991596638655462,0.9989495798319328,"[[0, 28], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__C': 1.0}",0.0003689001119683052,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9999999999999999,1.0,"[[0, 28], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__C': 0.5}",0.0011278875916398527,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__C': 0.5}",9.408116494129638e-05,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__C': 0.1}",0.002371109219448225,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9960127591706538,0.9945887445887446,"[[0, 28], [0, 33]]"
