fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.002178386426326772,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.0,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9941475158281377,0.9924242424242423,"[[0, 28], [0, 33]]"
4,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0053830901738709195,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.997403346365284,0.9968487394957983,"[[0, 28], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0053769003499024495,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.997403346365284,0.9968487394957983,"[[0, 28], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0048464936992395295,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9920063553263518,0.9913419913419913,"[[0, 28], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0008848484848484849,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9859298159951815,0.9831932773109243,"[[0, 28], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.9974747474747475,0.9967532467532468,"[[0, 28], [0, 33]]"
10,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9831568906525967,0.9826680672268907,"[[0, 28], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0036009694069672723,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,0.9991596638655463,0.9989495798319328,"[[0, 28], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0040449452070382115,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.999108734402852,0.998917748917749,"[[0, 28], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 150, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.0,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 150, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.004840975928570675,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333334,1.0,1.0,"[[0, 28], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.0019731549929979473,0.5409836065573771,0.5409836065573771,1.0,0.7021276595744681,0.978608063534534,0.9729437229437229,"[[0, 28], [0, 33]]"
