fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.05}",0.299677899284367,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.9971317148640104,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.05, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.5968144954485598,0.9672131147540983,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9801476867019243,0.9637445887445888,"[[27, 1], [1, 32]]"
4,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.05}",0.04131719881188477,0.9516129032258065,0.918918918918919,1.0,0.9577464788732394,0.9950433244550891,0.9936974789915967,"[[25, 3], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.9424961197652472,0.9838709677419355,1.0,0.9705882352941176,0.9850746268656716,0.9976152623211447,0.9968487394957982,"[[28, 0], [1, 33]]"
6,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.05}",0.9005323026051602,0.9836065573770492,0.9705882352941176,1.0,0.9850746268656716,0.9962659739537867,0.9956709956709956,"[[27, 1], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.7336256107589789,0.9516129032258065,0.918918918918919,1.0,0.9577464788732394,0.979742270707494,0.9758403361344539,"[[25, 3], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.03}",0.8508644536145138,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,"[[28, 0], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.05, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.059028419629304614,0.9344262295081968,0.8918918918918919,1.0,0.9428571428571428,0.982647633063685,0.9805194805194806,"[[24, 4], [0, 33]]"
10,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.10621632162630716,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.9924904510069184,0.9915966386554622,"[[27, 1], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.05}",0.7361542998601999,0.9838709677419355,1.0,0.9705882352941176,0.9850746268656716,0.9976152623211447,0.9968487394957982,"[[28, 0], [1, 33]]"
12,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.15372270344158928,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,"[[28, 0], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 2, 'clf__learning_rate': 0.05}",0.24754349257190542,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.9829972249926986,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.9991596638655462,0.9989495798319328,"[[27, 1], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 2, 'clf__learning_rate': 0.1}",0.2568637028490842,0.9016393442622951,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.8685955901029441,0.9090909090909092,"[[24, 4], [2, 31]]"
