fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.06158357771260997,0.48750000000000004,"[[60, 0], [2, 0]]"
2,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.15898617511520735,0.6186440677966101,"[[59, 0], [3, 0]]"
3,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.5555555555555556,0.8644067796610169,"[[56, 3], [1, 1]]"
4,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.17045454545454547,0.8125,"[[60, 0], [2, 0]]"
5,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.45666666666666667,0.847457627118644,"[[59, 0], [3, 0]]"
6,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.0,0.0,0.0,0.03278688524590164,0.211864406779661,"[[59, 0], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9354838709677419,0.0,0.0,0.0,0.08193979933110368,0.7416666666666667,"[[58, 2], [2, 0]]"
8,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.11443001443001444,0.6892655367231638,"[[59, 0], [3, 0]]"
9,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9344262295081968,0.0,0.0,0.0,0.13333333333333333,0.8050847457627118,"[[57, 2], [2, 0]]"
10,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.09453781512605042,0.7708333333333333,"[[60, 0], [2, 0]]"
11,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.09892473118279571,0.4576271186440678,"[[59, 0], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9836065573770492,1.0,0.5,0.6666666666666666,0.5163934426229508,0.597457627118644,"[[59, 0], [1, 1]]"
13,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.06666666666666667,0.6541666666666667,"[[60, 0], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.10833333333333334,0.6949152542372881,"[[59, 0], [3, 0]]"
15,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.5,0.5,0.5,0.5526315789473684,0.8559322033898304,"[[58, 1], [1, 1]]"
