fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.5188679245283019,0.5916666666666667,"[[60, 0], [2, 0]]"
2,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.38649940262843485,0.6101694915254237,"[[59, 0], [3, 0]]"
3,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.0,0.0,0.0,0.5188679245283019,0.597457627118644,"[[59, 0], [2, 0]]"
4,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.11666666666666667,0.725,"[[60, 0], [2, 0]]"
5,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,1.0,0.3333333333333333,0.5,0.6666666666666666,0.963276836158192,"[[59, 0], [2, 1]]"
6,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.0,0.0,0.0,0.0369281045751634,0.39830508474576276,"[[59, 0], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.13571428571428573,0.7666666666666667,"[[60, 0], [2, 0]]"
8,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.08391405342624855,0.6327683615819208,"[[59, 0], [3, 0]]"
9,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9836065573770492,1.0,0.5,0.6666666666666666,0.532258064516129,0.771186440677966,"[[59, 0], [1, 1]]"
10,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.09545454545454546,0.7708333333333334,"[[60, 0], [2, 0]]"
11,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.05385513044927899,0.42090395480225984,"[[59, 0], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9836065573770492,1.0,0.5,0.6666666666666666,0.6,0.9322033898305084,"[[59, 0], [1, 1]]"
13,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.06173913043478261,0.6375,"[[60, 0], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.10347222222222222,0.7062146892655367,"[[59, 0], [3, 0]]"
15,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.0,0.0,0.0,0.5178571428571429,0.559322033898305,"[[59, 0], [2, 0]]"
