fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9354838709677419,0.0,0.0,0.0,0.16666666666666669,0.8583333333333334,"[[58, 2], [2, 0]]"
2,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.4161290322580645,0.7005649717514124,"[[59, 0], [3, 0]]"
3,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.5277777777777778,0.7372881355932204,"[[56, 3], [1, 1]]"
4,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.05208333333333333,0.5875,"[[59, 1], [2, 0]]"
5,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.5716845878136201,0.7344632768361581,"[[59, 0], [3, 0]]"
6,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9016393442622951,0.0,0.0,0.0,0.03278688524590164,0.423728813559322,"[[55, 4], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.11666666666666667,0.8166666666666667,"[[59, 1], [2, 0]]"
8,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9193548387096774,0.0,0.0,0.0,0.05933890880127439,0.5564971751412429,"[[57, 2], [3, 0]]"
9,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 3, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.0,0.0,0.0,0.14,0.7754237288135594,"[[59, 0], [2, 0]]"
10,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9193548387096774,0.0,0.0,0.0,0.07692307692307693,0.6583333333333333,"[[57, 3], [2, 0]]"
11,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 3, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.0,0.0,0.0,0.09288341822297679,0.6384180790960451,"[[59, 0], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.5163934426229508,0.6186440677966101,"[[56, 3], [1, 1]]"
13,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.04112903225806452,0.4708333333333333,"[[60, 0], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.2518518518518519,0.8898305084745762,"[[59, 0], [3, 0]]"
15,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9508196721311475,0.3333333333333333,0.5,0.4,0.5285714285714286,0.7330508474576272,"[[57, 2], [1, 1]]"
