fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9032258064516129,0.16666666666666666,0.5,0.25,0.29166666666666663,0.9333333333333333,"[[55, 5], [1, 1]]"
2,123,62,4,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9032258064516129,0.2,0.3333333333333333,0.25,0.23660130718954248,0.8757062146892655,"[[55, 4], [2, 1]]"
3,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.5344827586206896,0.771186440677966,"[[56, 3], [1, 1]]"
4,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9516129032258065,0.3333333333333333,0.5,0.4,0.5909090909090909,0.9249999999999999,"[[58, 2], [1, 1]]"
5,123,62,4,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9354838709677419,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5535714285714286,0.943502824858757,"[[57, 2], [2, 1]]"
6,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 2, 'kbest__k': 100}",0.9508196721311475,0.0,0.0,0.0,0.08781362007168458,0.6864406779661016,"[[58, 1], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9516129032258065,0.4,1.0,0.5714285714285714,0.5,0.975,"[[57, 3], [0, 2]]"
8,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9516129032258065,0.5,0.3333333333333333,0.4,0.4797979797979798,0.9435028248587571,"[[58, 1], [2, 1]]"
9,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 2, 'kbest__k': 100}",0.9508196721311475,0.3333333333333333,0.5,0.4,0.5909090909090909,0.923728813559322,"[[57, 2], [1, 1]]"
10,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9838709677419355,1.0,0.5,0.6666666666666666,0.625,0.9500000000000001,"[[60, 0], [1, 1]]"
11,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9193548387096774,0.0,0.0,0.0,0.1797619047619048,0.8531073446327684,"[[57, 2], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9344262295081968,0.3333333333333333,1.0,0.5,0.6666666666666666,0.9661016949152542,"[[55, 4], [0, 2]]"
13,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.9516129032258065,0.3333333333333333,0.5,0.4,0.3333333333333333,0.9083333333333333,"[[58, 2], [1, 1]]"
14,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200}",0.8870967741935484,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3106060606060606,0.8926553672316384,"[[54, 5], [2, 1]]"
15,124,61,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 50}",0.9508196721311475,0.3333333333333333,0.5,0.4,0.27941176470588236,0.7203389830508475,"[[57, 2], [1, 1]]"
