feature,selection_count,selection_frequency
x0_LC_Symptom_jtpain_swell_ML_8,15,1.0
x0_Vac_Num_at_Draw,15,1.0
x1_Cytokines_Cortisol_Obs_Conc_ng/mL_GG21.1_ML,15,1.0
x0_LC_Symptom_confusion_ML_2,14,0.9333333333333333
x0_LC_Symptom_mood_ML_2,14,0.9333333333333333
x0_LC_Symptom_sleep_ML_2,14,0.9333333333333333
x0_LC_Symptom_dyspnea_ML_5,13,0.8666666666666667
x0_LC_Symptom_indig_reflux_ML_7,13,0.8666666666666667
x0_LC_Symptom_weakness_ML_8,13,0.8666666666666667
x1_Flow_Cyt_CD66bCD16hiNeutMFInonnorm,13,0.8666666666666667
x0_PMH_none,12,0.8
x0_LC_Symptom_chestpain_ML_6,11,0.7333333333333333
x0_LC_Symptom_headache_ML_2,9,0.6
x0_LC_Symptom_memory_ML_2,9,0.6
x0_LC_Symptom_mmpain_cramp_ML_8,9,0.6
x0_LC_Symptom_pins_need_ML_2,9,0.6
x0_LC_Symptom_sweats_ML_3,9,0.6
x0_Vac_Status_Third,9,0.6
x1_Flow_Cyt_CD66bEosMFInonnorm,9,0.6
x1_Flow_Cyt_CD66bTotalNeutMFInonnorm,8,0.5333333333333333
x0_LC_Symptom_dizziness_ML_2,6,0.4
x0_LC_Symptom_vision_ML_2,6,0.4
x0_LC_Symptom_hairloss,5,0.3333333333333333
x1_Flow_Cyt_CD4IL4pofCD4_ML,5,0.3333333333333333
x0_LC_Symptom_bloat_ML_7,4,0.26666666666666666
x0_LC_Symptom_cough_ML_5,4,0.26666666666666666
x1_Flow_Cyt_DC1,4,0.26666666666666666
x1_REAP_Antigen_IL34_ML,4,0.26666666666666666
x0_LC_Symptom_heartpalp_ML_6,3,0.2
x1_REAP_Antigen_PIANP,3,0.2
x0_LC_Symptom_tinnitus_ML_2,2,0.13333333333333333
x1_Flow_Cyt_CD8IL2number_ML2,2,0.13333333333333333
x1_Flow_Cyt_HLADRofintMono,2,0.13333333333333333
x0_Acute_COVID19_Diagnostic_No_pos,1,0.06666666666666667
x0_LC_Symptom_bodytemp_ML_3,1,0.06666666666666667
x0_LC_Symptom_tachypnea_ML_5,1,0.06666666666666667
x0_LC_Symptom_throat_ML_4,1,0.06666666666666667
x1_Cytokines_HMGB1_Obs_Conc_ng/mL_GG20.1_ML,1,0.06666666666666667
x1_Cytokines_IL-12_Obs_Conc_pg/mL_GG4.5_ML,1,0.06666666666666667
x1_Flow_Cyt_CD66bCD16intNeutMFInonnorm,1,0.06666666666666667
x1_Flow_Cyt_CD86HLADRBofB_ML,1,0.06666666666666667
x1_Flow_Cyt_DNofB_ML,1,0.06666666666666667
x1_REAP_Antigen_PKD1_Epitope-5-N,1,0.06666666666666667
