fold,model,train_size,test_size,n_features_train,n_minority_train,best_params,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision,tn,fp,fn,tp
1,BalancedRF,148,37,7334,80,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 200, ""clf__max_depth"": null}",0.68,0.918918918918919,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,1.0,1.0,16,0,3,18
2,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 400, ""clf__max_depth"": null}",0.7525,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,1.0,1.0,17,0,2,18
3,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.2, ""selector__kbest__k"": 100, ""clf__n_estimators"": 400, ""clf__max_depth"": 5}",0.6573553381199223,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0,17,0,1,19
4,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 100, ""clf__max_depth"": 3}",0.5083452540017528,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
5,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 100, ""clf__max_depth"": 3}",0.41084031283892686,0.972972972972973,0.9705882352941176,0.9523809523809523,1.0,0.975609756097561,1.0,1.0000000000000002,16,1,0,20
6,BalancedRF,148,37,7334,80,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 100, ""clf__max_depth"": 3}",0.46407996450227584,0.9459459459459459,0.9449404761904762,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9910714285714286,0.9931869717584005,15,1,1,20
7,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 400, ""clf__max_depth"": null}",0.7525,0.918918918918919,0.925,1.0,0.85,0.918918918918919,0.9970588235294118,0.9976190476190476,17,0,3,17
8,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 100, ""clf__max_depth"": 3}",0.6451223356168333,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,0.9911764705882353,0.9934782608695653,17,0,2,18
9,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 200, ""clf__max_depth"": null}",0.81,0.9459459459459459,0.95,1.0,0.9,0.9473684210526315,1.0,1.0,17,0,2,18
10,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 400, ""clf__max_depth"": null}",0.745,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0,17,0,3,17
11,BalancedRF,148,37,7334,80,"{""selector__l1__estimator__C"": 0.1, ""selector__kbest__k"": 30, ""clf__n_estimators"": 200, ""clf__max_depth"": null}",0.795,0.8918918918918919,0.9047619047619048,1.0,0.8095238095238095,0.8947368421052632,0.9880952380952381,0.9923809523809524,16,0,4,17
12,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 400, ""clf__max_depth"": null}",0.8175,0.8918918918918919,0.9,1.0,0.8,0.8888888888888888,1.0,0.9999999999999999,17,0,4,16
13,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.2, ""selector__kbest__k"": 20, ""clf__n_estimators"": 200, ""clf__max_depth"": null}",0.75,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0,17,0,1,19
14,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 50, ""clf__n_estimators"": 400, ""clf__max_depth"": null}",0.735,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0,17,0,1,19
15,BalancedRF,148,37,7334,81,"{""selector__l1__estimator__C"": 0.5, ""selector__kbest__k"": 30, ""clf__n_estimators"": 100, ""clf__max_depth"": 3}",0.5168946228682241,0.918918918918919,0.9205882352941177,0.9473684210526315,0.9,0.9230769230769231,0.9882352941176471,0.9897096908939016,16,1,2,18
1,LogisticRegression,148,37,7334,80,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.7577144577210182,0.918918918918919,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,1.0,1.0000000000000002,16,0,3,18
2,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.4442207531536903,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
3,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__C"": 0.1}",0.4637110335555558,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
4,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 75, ""clf__C"": 2.0}",0.7851548853668591,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
5,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.6579012468718816,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
6,LogisticRegression,148,37,7334,80,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6451568000678177,0.918918918918919,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9970238095238095,0.9978354978354982,16,0,3,18
7,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__C"": 1.0}",0.668085801332966,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
8,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6491911842103192,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
9,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.4265265252874018,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
10,LogisticRegression,148,37,7334,81,"{""selector__kbest__k"": 20, ""clf__C"": 1.0}",0.6549452221415671,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
11,LogisticRegression,148,37,7334,80,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6063706376383458,0.9459459459459459,0.9523809523809523,1.0,0.9047619047619048,0.95,0.9940476190476191,0.995859213250518,16,0,2,19
