fold,model,train_size,test_size,n_features_train,best_params,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision,tn,fp,fn,tp
1,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.7577144577210182,0.918918918918919,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,1.0,1.0000000000000002,16,0,3,18
2,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.4442207531536903,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
3,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 20, ""clf__C"": 0.1}",0.4637110335555558,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
4,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 2.0}",0.7851548853668591,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
5,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.6579012468718816,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
6,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6451568000678177,0.918918918918919,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9970238095238095,0.9978354978354982,16,0,3,18
7,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 20, ""clf__C"": 1.0}",0.668085801332966,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
8,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6491911842103192,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
9,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.4265265252874018,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
10,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 20, ""clf__C"": 1.0}",0.6549452221415671,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
11,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6063706376383458,0.9459459459459459,0.9523809523809523,1.0,0.9047619047619048,0.95,0.9940476190476191,0.995859213250518,16,0,2,19
12,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 0.2}",0.6621008276046481,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
13,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 75, ""clf__C"": 2.0}",0.8045242092656787,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,17,0,0,20
14,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 30, ""clf__C"": 1.0}",0.7012959793605014,0.972972972972973,0.975,1.0,0.95,0.9743589743589743,1.0,1.0000000000000002,17,0,1,19
15,LogisticRegression,148,37,7334,"{""selector__kbest__k"": 20, ""clf__C"": 0.1}",0.5263718801287871,0.918918918918919,0.925,1.0,0.85,0.918918918918919,1.0,1.0000000000000002,17,0,3,17
