fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.8225806451612904,0.0,0.0,0.0,0.06363636363636363,0.47500000000000003,"[[51, 9], [2, 0]]"
2,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200}",0.8870967741935484,0.0,0.0,0.0,0.11559139784946237,0.7231638418079095,"[[55, 4], [3, 0]]"
3,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.8688524590163934,0.0,0.0,0.0,0.05,0.4915254237288136,"[[53, 6], [2, 0]]"
4,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100}",0.9516129032258065,0.3333333333333333,0.5,0.4,0.2833333333333333,0.7583333333333333,"[[58, 2], [1, 1]]"
5,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200}",0.9193548387096774,0.0,0.0,0.0,0.2551282051282051,0.8361581920903953,"[[57, 2], [3, 0]]"
6,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.8524590163934426,0.0,0.0,0.0,0.052526595744680854,0.4915254237288136,"[[52, 7], [2, 0]]"
7,123,62,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.9032258064516129,0.0,0.0,0.0,0.06477732793522267,0.6,"[[56, 4], [2, 0]]"
8,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100}",0.8870967741935484,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.22458333333333333,0.7005649717514124,"[[54, 5], [2, 1]]"
9,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.9016393442622951,0.0,0.0,0.0,0.043255813953488376,0.4491525423728813,"[[55, 4], [2, 0]]"
10,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100}",0.9838709677419355,1.0,0.5,0.6666666666666666,0.5555555555555556,0.8666666666666667,"[[60, 0], [1, 1]]"
11,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200}",0.9193548387096774,0.0,0.0,0.0,0.11495911495911496,0.751412429378531,"[[57, 2], [3, 0]]"
12,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.7868852459016393,0.0,0.0,0.0,0.06335282651072124,0.635593220338983,"[[48, 11], [2, 0]]"
13,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100}",0.9193548387096774,0.2,0.5,0.2857142857142857,0.17045454545454547,0.8083333333333333,"[[56, 4], [1, 1]]"
14,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200}",0.9193548387096774,0.0,0.0,0.0,0.23148148148148145,0.8248587570621468,"[[57, 2], [3, 0]]"
15,124,61,5,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.02, 'kbest__k': 100}",0.8688524590163934,0.0,0.0,0.0,0.06666666666666667,0.5847457627118644,"[[53, 6], [2, 0]]"
