fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.31,0.967741935483871,0.9444444444444444,1.0,0.9714285714285714,0.9966853408029879,0.9957983193277311,"[[26, 2], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.77,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.6,0.9672131147540983,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9941475158281379,0.9924242424242423,"[[27, 1], [1, 32]]"
4,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.48,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.9982946119624321,0.9978991596638654,"[[27, 1], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 150, 'clf__n_estimators': 100, 'clf__max_depth': 10}",0.69,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.74,0.9836065573770492,0.9705882352941176,1.0,0.9850746268656716,0.9920436743291882,0.9918831168831169,"[[27, 1], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.54,0.9516129032258065,0.918918918918919,1.0,0.9577464788732394,0.9880421148803502,0.9868697478991596,"[[25, 3], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.62,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.69,0.9672131147540983,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.986125114150993,0.9864718614718615,"[[27, 1], [1, 32]]"
10,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.495,0.967741935483871,0.9444444444444444,1.0,0.9714285714285714,0.9927810270074333,0.9926470588235294,"[[26, 2], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.42,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.65,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.58,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.79,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.39,0.9016393442622951,0.8461538461538461,1.0,0.9166666666666666,0.9745787764590592,0.9691558441558441,"[[22, 6], [0, 33]]"
