fold,train_size,test_size,n_minority_train,best_params,chosen_threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.05, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.43618328752650576,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.9991596638655463,0.9989495798319328,"[[27, 1], [0, 34]]"
2,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.7804735120768956,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
3,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.69,0.9672131147540983,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9941475158281377,0.9924242424242423,"[[27, 1], [1, 32]]"
4,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.48339223336782217,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.997403346365284,0.9968487394957983,"[[27, 1], [0, 34]]"
5,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.5874272468973171,0.9838709677419355,0.9714285714285714,1.0,0.9855072463768116,0.997403346365284,0.9968487394957983,"[[27, 1], [0, 34]]"
6,124,61,68,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 50, 'clf__n_estimators': 200, 'clf__max_depth': 3}",0.7575821638470279,0.9836065573770492,0.9705882352941176,1.0,0.9850746268656716,0.9981904607573056,0.9978354978354979,"[[27, 1], [0, 33]]"
7,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.4789248462586537,0.9516129032258065,0.918918918918919,1.0,0.9577464788732394,0.9893601209734741,0.9873949579831932,"[[25, 3], [0, 34]]"
8,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.6,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
9,124,61,68,"{'smote__k_neighbors': 2, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.737593083123447,0.9672131147540983,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.989206867232746,0.9880952380952381,"[[27, 1], [1, 32]]"
10,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.47714285714285715,0.9516129032258065,0.918918918918919,1.0,0.9577464788732394,0.9831568906525967,0.9826680672268907,"[[25, 3], [0, 34]]"
11,123,62,67,"{'smote__k_neighbors': 3, 'sel_l1__estimator__C': 0.1, 'kbest__k': 100, 'clf__n_estimators': 100, 'clf__max_depth': 5}",0.3850953219315895,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
12,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': None}",0.64,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 33]]"
13,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.1, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.5580667029012701,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
14,123,62,67,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.7458009953009954,1.0,1.0,1.0,1.0,1.0,1.0,"[[28, 0], [0, 34]]"
15,124,61,68,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 200, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.4666890681003584,0.9016393442622951,0.8461538461538461,1.0,0.9166666666666666,0.978608063534534,0.972943722943723,"[[22, 6], [0, 33]]"
