fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 100, 'kbest__k': 200}",0.9354838709677419,0.25,0.5,0.3333333333333333,0.6111111111111112,0.9416666666666667,"[[57, 3], [1, 1]]"
2,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9032258064516129,0.0,0.0,0.0,0.20079365079365077,0.847457627118644,"[[56, 3], [3, 0]]"
3,124,61,5,"{'sel_l1__k': 100, 'kbest__k': 200}",0.9508196721311475,0.3333333333333333,0.5,0.4,0.28846153846153844,0.788135593220339,"[[57, 2], [1, 1]]"
4,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9032258064516129,0.0,0.0,0.0,0.10964912280701754,0.6583333333333333,"[[56, 4], [2, 0]]"
5,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9516129032258065,0.5,0.3333333333333333,0.4,0.7,0.9774011299435028,"[[58, 1], [2, 1]]"
6,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9508196721311475,0.0,0.0,0.0,0.054945054945054944,0.5677966101694916,"[[58, 1], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 100, 'kbest__k': 200}",0.967741935483871,0.5,0.5,0.5,0.45,0.9666666666666667,"[[59, 1], [1, 1]]"
8,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9032258064516129,0.0,0.0,0.0,0.1481859410430839,0.6497175141242938,"[[56, 3], [3, 0]]"
9,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9508196721311475,0.3333333333333333,0.5,0.4,0.375,0.940677966101695,"[[57, 2], [1, 1]]"
10,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9354838709677419,0.0,0.0,0.0,0.12406015037593984,0.8083333333333333,"[[58, 2], [2, 0]]"
11,123,62,4,"{'sel_l1__k': 100, 'kbest__k': 200}",0.9193548387096774,0.0,0.0,0.0,0.10101010101010102,0.711864406779661,"[[57, 2], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9016393442622951,0.16666666666666666,0.5,0.25,0.625,0.9491525423728814,"[[54, 5], [1, 1]]"
13,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9193548387096774,0.0,0.0,0.0,0.06767676767676768,0.5583333333333333,"[[57, 3], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 50}",0.9193548387096774,0.0,0.0,0.0,0.20833333333333331,0.8305084745762712,"[[57, 2], [3, 0]]"
15,124,61,5,"{'sel_l1__k': 100, 'kbest__k': 200}",0.9672131147540983,0.5,0.5,0.5,0.2777777777777778,0.7033898305084746,"[[58, 1], [1, 1]]"
