fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 100, 'kbest__k': 100, 'clf__n_estimators': 200}",0.9193548387096774,0.2,0.5,0.2857142857142857,0.53125,0.7583333333333333,"[[56, 4], [1, 1]]"
2,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.8709677419354839,0.14285714285714285,0.3333333333333333,0.2,0.20953032375740993,0.5932203389830508,"[[53, 6], [2, 1]]"
3,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9672131147540983,0.5,0.5,0.5,0.5212765957446809,0.6228813559322034,"[[58, 1], [1, 1]]"
4,123,62,5,"{'sel_l1__k': 100, 'kbest__k': 100, 'clf__n_estimators': 200}",0.9032258064516129,0.16666666666666666,0.5,0.25,0.527027027027027,0.7249999999999999,"[[55, 5], [1, 1]]"
5,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.5,0.3333333333333333,0.4,0.5119047619047619,0.9209039548022598,"[[58, 1], [2, 1]]"
6,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9508196721311475,0.0,0.0,0.0,0.051587301587301584,0.5508474576271186,"[[58, 1], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9516129032258065,0.3333333333333333,0.5,0.4,0.18840579710144928,0.625,"[[58, 2], [1, 1]]"
8,123,62,4,"{'sel_l1__k': 100, 'kbest__k': 100, 'clf__n_estimators': 200}",0.9032258064516129,0.2,0.3333333333333333,0.25,0.22342995169082125,0.692090395480226,"[[55, 4], [2, 1]]"
9,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.8852459016393442,0.0,0.0,0.0,0.06512605042016806,0.6228813559322034,"[[54, 5], [2, 0]]"
10,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.8870967741935484,0.14285714285714285,0.5,0.2222222222222222,0.5196078431372549,0.5958333333333333,"[[54, 6], [1, 1]]"
11,123,62,4,"{'sel_l1__k': 100, 'kbest__k': 200, 'clf__n_estimators': 100}",0.8709677419354839,0.0,0.0,0.0,0.06819421713038734,0.4463276836158192,"[[54, 5], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.819672131147541,0.09090909090909091,0.5,0.15384615384615385,0.5303030303030303,0.7372881355932203,"[[49, 10], [1, 1]]"
13,123,62,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9354838709677419,0.25,0.5,0.3333333333333333,0.2685185185185185,0.5625,"[[57, 3], [1, 1]]"
14,123,62,4,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9193548387096774,0.25,0.3333333333333333,0.2857142857142857,0.2934782608695652,0.847457627118644,"[[56, 3], [2, 1]]"
15,124,61,5,"{'sel_l1__k': 50, 'kbest__k': 200, 'clf__n_estimators': 200}",0.9344262295081968,0.25,0.5,0.3333333333333333,0.5212765957446809,0.6186440677966102,"[[56, 3], [1, 1]]"
