fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.6111111111111112,0.9416666666666667,"[[60, 0], [2, 0]]"
2,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.39365079365079364,0.7344632768361582,"[[59, 0], [3, 0]]"
3,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.5256410256410257,0.6949152542372882,"[[59, 0], [2, 0]]"
4,123,62,5,"{'sel_l1__k': 50, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 200}",0.967741935483871,0.0,0.0,0.0,0.2672413793103448,0.5291666666666667,"[[60, 0], [2, 0]]"
5,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.4588235294117647,0.8813559322033898,"[[59, 0], [3, 0]]"
6,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.05714285714285714,0.5254237288135594,"[[59, 0], [2, 0]]"
7,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.1875,0.8666666666666667,"[[60, 0], [2, 0]]"
8,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.2017783857729138,0.5310734463276836,"[[59, 0], [3, 0]]"
9,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.5344827586206896,0.7923728813559322,"[[59, 0], [2, 0]]"
10,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.2712765957446808,0.6333333333333333,"[[60, 0], [2, 0]]"
11,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.06603990569834972,0.5254237288135593,"[[59, 0], [3, 0]]"
12,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.625,0.9533898305084745,"[[59, 0], [2, 0]]"
13,123,62,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.967741935483871,0.0,0.0,0.0,0.2681818181818182,0.5708333333333333,"[[60, 0], [2, 0]]"
14,123,62,4,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9516129032258065,0.0,0.0,0.0,0.2074074074074074,0.8587570621468926,"[[59, 0], [3, 0]]"
15,124,61,5,"{'sel_l1__k': 100, 'resample__k_neighbors': 1, 'kbest__k': 200, 'clf__n_estimators': 100}",0.9672131147540983,0.0,0.0,0.0,0.5185185185185185,0.5805084745762712,"[[59, 0], [2, 0]]"
